,video_name,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
0,trial_lie_001_0,40,18,136,7,31,17,4,2
1,trial_lie_001_1,43,32,87,0,4,82,4,3
2,trial_lie_002_0,18,28,349,14,228,121,60,119
3,trial_lie_002_1,32,3,418,2,227,106,78,71
4,trial_lie_003_0,21,0,9,34,0,34,6,2
5,trial_lie_003_1,0,3,1,85,0,0,5,12
6,trial_lie_004_0,0,15,28,38,8,57,19,9
7,trial_lie_004_1,9,3,50,44,49,9,5,6
8,trial_lie_005_0,28,9,382,38,45,158,109,16
9,trial_lie_005_1,0,9,135,136,109,172,59,165
10,trial_lie_006_0,25,69,127,3,13,16,3,17
11,trial_lie_006_1,12,33,145,6,8,0,0,69
12,trial_lie_007_0,27,3,349,42,0,171,36,73
13,trial_lie_007_1,58,6,374,89,1,85,11,78
14,trial_lie_008_0,10,17,60,2,0,4,16,0
15,trial_lie_008_1,0,8,73,0,0,2,24,3
16,trial_lie_009_0,11,169,66,17,0,2,16,28
17,trial_lie_009_1,59,142,23,50,2,4,12,18
18,trial_lie_010_0,2,4,304,27,0,57,4,40
19,trial_lie_010_1,0,35,308,1,5,75,0,14
20,trial_lie_011_0,19,12,196,10,4,83,181,0
21,trial_lie_011_1,76,0,277,5,9,130,3,5
22,trial_lie_012_0,0,0,51,3,10,4,0,50
23,trial_lie_012_1,12,6,10,0,4,38,21,28
24,trial_lie_013_0,0,59,83,9,0,6,21,107
25,trial_lie_013_1,43,94,28,0,1,16,75,29
26,trial_lie_014_0,19,20,57,35,6,50,6,14
27,trial_lie_014_1,7,18,84,39,4,40,3,13
28,trial_lie_015_0,116,9,265,39,5,56,5,20
29,trial_lie_015_1,71,59,318,28,3,5,0,31
30,trial_lie_016_0,29,137,175,51,68,45,12,37
31,trial_lie_016_1,28,172,237,14,33,28,3,39
32,trial_lie_017_0,1,0,533,22,8,70,15,8
33,trial_lie_017_1,49,5,326,0,54,76,120,28
34,trial_lie_018_0,117,105,78,21,3,72,8,113
35,trial_lie_018_1,194,107,8,9,1,80,1,118
36,trial_lie_019_0,10,78,296,6,23,82,10,46
37,trial_lie_019_1,8,158,199,14,27,79,5,61
38,trial_lie_020_0,0,16,76,23,0,11,0,41
39,trial_lie_020_1,3,32,89,0,15,16,4,8
40,trial_lie_021_0,0,11,193,15,10,14,17,12
41,trial_lie_021_1,7,0,215,7,2,12,24,6
42,trial_lie_022_0,2,12,447,31,29,34,27,40
43,trial_lie_022_1,10,9,385,71,9,94,11,34
44,trial_lie_023_0,14,13,461,33,4,53,23,48
45,trial_lie_023_1,1,0,467,33,0,71,27,50
46,trial_lie_024_0,67,59,191,6,0,32,6,6
47,trial_lie_024_1,17,44,237,0,0,54,2,13
48,trial_lie_025_0,4,32,302,0,17,77,2,8
49,trial_lie_025_1,3,36,292,4,6,80,5,16
50,trial_lie_026_0,15,70,158,33,6,106,16,23
51,trial_lie_026_1,56,40,208,7,35,50,13,19
52,trial_lie_027_0,88,18,143,16,0,110,5,24
53,trial_lie_027_1,14,120,88,85,2,26,5,64
54,trial_lie_028_0,22,81,219,2,7,21,4,7
55,trial_lie_028_1,34,13,223,32,0,25,0,37
56,trial_lie_029_0,21,6,221,4,3,16,11,13
57,trial_lie_029_1,23,15,130,2,5,78,17,25
58,trial_lie_030_0,3,87,282,40,22,68,11,53
59,trial_lie_030_1,8,89,288,10,18,116,9,28
60,trial_lie_031_0,48,39,136,2,2,131,8,22
